Timestamp,How often do you visit Centennial Park?,How far do you travel to get to the Park?,Why do you visit the Park? (check all that apply),"On a scale of 1 to 10, with 1 being ""Very poorly"" and 10 being ""Very well"", how do you feel that the Park is maintained?",Did you notice any issues in the Park today? (check all that apply),Do you believe the Park could benefit from more ongoing activities or services?,"If yes, which activities or services would you most like to see? (select all that apply)","On a scale of 1-10, with 1 being ""Not safe at all"" and 10 being ""Very safe"", how safe do you feel in the Park?","Were you aware that there is a nonprofit support group, Centennial Park Conservancy, that helps to underwrite Park improvements and arts & educational programs in the Parthenon and Park through donations and memberships?",Are you a member of Centennial Park Conservancy?,Is there anything else you would like to share with us today?,What is your age?,What is your race / ethnicity?,What is your ethnicity?,What is your gender?,Would you like to receive monthly updates about events and programs in Centennial Park?,Would you like to learn more about becoming a member of Centennial Park Conservancy?
4/15/2022 12:54:14,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Arts Center, Feed the ducks, Play sports",8,"Trash or litter, Landscaping issues",Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel",9,No,No,,16-25,Hispanic or Latinx,,Woman,Yes,Yes
4/16/2022 11:20:37,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Visit Centennial Arts Center, Attend events, Picnic, Feed the ducks",8,Trash or litter,Yes,"Events, More food and beverage options, Carousel, Public restrooms",10,Yes,No,It’s very beautiful and love seeing everyone outdoors being kind to one another! ,36-45,White,,Woman,Yes,Yes
4/16/2022 13:57:18,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Arts Center, Attend events",7,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",8,Yes,No,Better lights for when sun sets,26-35,Asian,,Woman,Yes,Yes
4/16/2022 14:41:01,Monthly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Attend events, Walk dog",8,No restrooms. Amphitheater area looks sad.,Yes,"Events, Public restrooms",10,No,No,"Priority: amphitheater repair. I’m miss Shakespeare in summer at the park. It’s a great venue.
Grove of trees native to region and/or Nashville sister cities.
Sculptures 
Restrooms",56-65,White,,Woman,Yes,Yes
4/17/2022 17:04:15,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Walk dog, Visit the dog park",6,Damage or deterioration,Yes,"Events, More food and beverage options, Carousel",9,No,No,,26-35,White,,Woman,Yes,Yes
4/18/2022 16:22:04,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Walk dog, Feed the ducks",9,None,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",8,No,No,It’s always peaceful and relaxing ,36-45,White,,Woman,Yes,Yes
4/19/2022 11:11:20,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Bird watch",9,Trash or litter,Yes,Public restrooms,10,No,No,,26-35,White,,Woman,Yes,Yes
4/19/2022 18:29:06,Weekly,1 - 5 miles away,"Exercise (walk, bike, run), Picnic, Feed the ducks",8,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,Love the park!,16-25,White,,Woman,Yes,Yes
4/20/2022 12:50:16,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Arts Center, Attend events, Picnic, Feed the ducks",8,"Damage or deterioration, Trash or litter, Signage unclear",Yes,Public restrooms,8,Yes,No,"There should be signs informing people not to feed the ducks bread, fried food, etc and providing a list of acceptable foods to feed them so they can be healthy",26-35,White,,Woman,Yes,Yes
4/20/2022 16:48:35,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",10,None,No,Public restrooms,10,No,No,I think the park is week used and we’ll attended as is.  I would hate for it to become too crowded.,56-65,White,,Woman,Yes,Yes
4/20/2022 18:24:50,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",9,Trash or litter,Yes,"Events, Public restrooms",8,No,No,,16-25,White,,Woman,Yes,Yes
4/20/2022 20:38:38,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Play sports",8,Trash or litter,Yes,Events,8,No,No,N/A,36-45,White,,Woman,Yes,Yes
4/21/2022 11:36:58,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Attend events",10,N/a,Yes,Events,10,Yes,No,,26-35,White,,Man,No,Yes
4/21/2022 22:25:47,Occasionally,Less than a mile away,"Spend time in an outdoor green space, Feed the ducks",10,No,Yes,Events,10,No,No,I love taking walks there! There was a musician by the waters and it was so peaceful. I need to go there more often!,16-25,Asian,,Woman,No,Yes
4/23/2022 13:44:16,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Walk dog",7,"Trash or litter, Landscaping issues",No,,10,No,No,,16-25,White,,Woman,Yes,Yes
4/24/2022 17:06:00,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks, Visit the playground",8,Damage or deterioration,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",8,No,No,,26-35,Multiracial,,Woman,Yes,Yes
4/25/2022 7:40:34,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",8,Trash or litter,No,,8,No,No,,46-55,Asian,,Man,Yes,Yes
4/25/2022 17:21:19,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",8,Trash or litter,Yes,"Events, Public restrooms",8,Yes,No,N/a,16-25,White,,Woman,Yes,Yes
4/26/2022 8:56:24,Daily,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks",10,Trash or litter,Yes,Public restrooms,10,Yes,No,,36-45,Hispanic or Latinx,,Woman,Yes,Yes
4/27/2022 23:31:09,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Visit the dog park, Play sports",10,Trash or litter,No,,10,No,No,,16-25,White,,Woman,Yes,Yes
5/1/2022 23:53:28,Daily,Less than a mile away,"Walk dog, Visit the dog park",10,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,36-45,White,,Woman,Yes,Yes
5/2/2022 19:34:16,Weekly,6 - 9 miles away,"Exercise (walk, bike, run)",6,Trash or litter,Yes,"Public restrooms, Duck feeding stations so people stop giving them bread",10,No,No,,26-35,Hispanic or Latinx,,Woman,Yes,Yes
5/3/2022 19:39:01,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Walk dog, Visit the dog park",7,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms, Public transportation ",10,Yes,No,,16-25,White,,Man,Yes,Yes
5/4/2022 16:28:06,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Attend events, Visit the playground",8,Damage or deterioration,Yes,"Events, More food and beverage options, Public restrooms",8,No,No,,46-55,Black or African American,,Woman,Yes,Yes
5/5/2022 14:25:02,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Walk dog, Visit the dog park",10,Trash or litter,Yes,"Events, Public restrooms",8,No,No,,26-35,White,,Man,Yes,Yes
5/6/2022 18:57:28,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Walk dog, Feed the ducks",9,No,No,,9,No,No,,26-35,American Indian and Alaska Native,,Non-binary/non-conforming,Yes,Yes
5/7/2022 19:00:21,Daily,Less than a mile away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic",8,Trash or litter,Yes,More food and beverage options,10,No,No,Nice geese.,16-25,White,,Man,Yes,Yes
5/7/2022 19:00:28,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks",10,Trash or litter,Yes,"Events, More food and beverage options",10,No,No,No,16-25,White,,Woman,Yes,Yes
5/7/2022 19:00:42,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Picnic, Feed the ducks",10,Trash or litter,Yes,"Events, More food and beverage options",10,No,No,No! I love the park and the geese! So much fun! ,16-25,White,,Woman,Yes,Yes
5/8/2022 18:42:04,Weekly,"10+ miles away, but no more than 50 miles",Spend time in an outdoor green space,8,Trash or litter,Yes,Carousel,7,Yes,No,Love the park. It’s my happy place!,26-35,Hispanic or Latinx,,Woman,Yes,Yes
5/9/2022 23:06:44,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",7,Trash or litter,Yes,"More food and beverage options, Public restrooms",9,Yes,No,,26-35,Prefer not to say,,Prefer not to say,Yes,Yes
5/10/2022 13:17:03,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",8,Landscaping issues,Yes,Events,10,No,No,The park is a great vibe.,16-25,Asian,,Man,No,Yes
5/15/2022 12:44:47,Weekly,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks, Play sports",8,"Trash or litter, Landscaping issues",Yes,"Events, More food and beverage options, Public restrooms",10,No,No,No,46-55,White,,Woman,Yes,Yes
5/17/2022 19:17:27,Rarely,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",6,Trash or litter,Yes,"More food and beverage options, Public restrooms, more trash cans/more frequent trash collection ",8,No,No,,16-25,White,,Prefer not to say,Yes,Yes
5/24/2022 20:47:10,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic",10,Trash or litter,Yes,"More food and beverage options, Public restrooms",7,No,No,,16-25,Prefer not to say,,Woman,Yes,Yes
5/24/2022 20:47:45,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic",9,Landscaping issues,Yes,"Events, More food and beverage options, Public restrooms",9,No,No,,16-25,Prefer not to say,,Prefer not to say,Yes,Yes
5/26/2022 19:43:50,Occasionally,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run)",10,Signage unclear,Yes,Walking/golf cart tours,10,No,No,,36-45,Hispanic or Latinx,,Man,Yes,Yes
5/29/2022 17:45:47,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Walk dog",9,Signage unclear,Yes,"Events, More food and beverage options, Public restrooms",7,No,No,N/a,16-25,Black or African American,,Woman,Yes,Yes
6/2/2022 18:20:41,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Use the volleyball courts, Play sports",9,"Everything is great, although it would be nice to have bathroom facilities more than just portapotties I understand why it would be difficult to maintain.",Yes,"Events, Public restrooms",10,No,No,Big fan of all the new improvements!,16-25,White,,Man,Yes,Yes
6/5/2022 19:36:11,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Drawing",7,Trash or litter,Yes,Random public dances (kpop),9,No,No,"No, I think that’s all ",Prefer not to say,Prefer not to say,,Non-binary/non-conforming,Yes,Yes
6/11/2022 14:14:22,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Walk dog, Feed the ducks, Visit the playground, Use the volleyball courts, Play sports",6,"Trash or litter, Signage unclear",Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",5,Yes,No,,Prefer not to say,Prefer not to say,,Prefer not to say,Yes,Yes
4/15/2022 10:22:16,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Feed the ducks, Visit the playground",8,Dog poop,Yes,"More food and beverage options, Carousel, Public restrooms",10,No,No,,26-35,Multiracial,,Man,No,No
4/15/2022 10:59:44,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",10,Nothing of great moment. The park is well kept.,No,,10,No,No,Great park. Love the upgrades ,56-65,Black or African American,,Man,Yes,No
4/15/2022 11:35:19,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Feed the ducks",10,None,Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,No,No,,16-25,White,,Woman,No,No
